Month,c5.large,t2.micro,c4.xlarge,r5.8xlarge,t2.medium,t2.small,c5.xlarge,c5.2xlarge,t3.medium
10000,24.0,0,67.0,0,0,0,0.0,0,0
10001,24.0,0,67.0,0,0,0,0.0,0,0
10002,24.0,0,67.0,0,0,0,0.0,0,0
10003,24.0,0,67.0,0,0,0,0.0,0,0
10004,24.0,0,67.0,0,0,0,0.0,0,0
10005,24.0,0,67.0,0,0,0,0.0,0,0
10006,24.0,0,67.0,0,0,0,0.0,0,0
10007,24.0,0,67.0,0,0,0,0.0,0,0
10008,24.0,0,67.0,0,0,0,0.0,0,0
10009,24.0,0,67.0,0,0,0,0.0,0,0
10010,24.0,0,67.0,0,0,0,0.0,0,0
10011,24.0,0,67.0,0,0,0,0.0,0,0
10012,24.0,0,67.0,0,0,0,0.0,0,0
10013,24.0,0,67.0,0,0,0,0.0,0,0
10014,24.0,0,67.0,0,0,0,0.0,0,0
10015,24.0,0,67.0,0,0,0,0.0,0,0
10016,24.0,0,67.0,0,0,0,0.0,0,0
10017,24.0,0,67.0,0,0,0,0.0,0,0
10018,24.0,0,67.0,0,0,0,0.0,0,0
10019,24.0,0,67.0,0,0,0,0.0,0,0
10020,24.0,0,67.0,0,0,0,0.0,0,0
10021,24.0,0,67.0,0,0,0,0.0,0,0
10022,24.0,0,67.0,0,0,0,0.0,0,0
10023,24.0,0,67.0,0,0,0,0.0,0,0
10024,24.0,0,67.0,0,0,0,0.0,0,0
10025,24.0,0,67.0,0,0,0,0.0,0,0
10026,24.0,0,67.0,0,0,0,0.0,0,0
10027,24.0,0,67.0,0,0,0,0.0,0,0
10028,24.0,0,67.0,0,0,0,0.0,0,0
10029,24.0,0,67.0,0,0,0,0.0,0,0
10030,24.0,0,67.0,0,0,0,0.0,0,0
10031,24.0,0,67.0,0,0,0,0.0,0,0
10032,24.0,0,67.0,0,0,0,0.0,0,0
10033,24.0,0,67.0,0,0,0,0.0,0,0
10034,24.0,0,67.0,0,0,0,0.0,0,0
10035,24.0,0,67.0,0,0,0,0.0,0,0
10036,24.0,0,67.0,0,0,0,0.0,0,0
10037,24.0,0,67.0,0,0,0,0.0,0,0
10038,24.0,0,67.0,0,0,0,0.0,0,0
10039,24.0,0,67.0,0,0,0,0.0,0,0
10040,24.0,0,67.0,0,0,0,0.0,0,0
10041,24.0,0,67.0,0,0,0,0.0,0,0
10042,24.0,0,67.0,0,0,0,0.0,0,0
10043,24.0,0,67.0,0,0,0,0.0,0,0
10044,24.0,0,67.0,0,0,0,0.0,0,0
10045,24.0,0,67.0,0,0,0,0.0,0,0
10046,24.0,0,67.0,0,0,0,0.0,0,0
10047,24.0,0,45.0,0,0,0,0.0,0,0
10048,24.0,0,45.0,0,0,0,0.0,0,0
10049,24.0,0,45.0,0,0,0,0.0,0,0
10050,24.0,0,45.0,0,0,0,0.0,0,0
10051,24.0,0,45.0,0,0,0,0.0,0,0
10052,24.0,0,45.0,0,0,0,0.0,0,0
10053,24.0,0,45.0,0,0,0,0.0,0,0
10054,24.0,0,45.0,0,0,0,0.0,0,0
10055,24.0,0,45.0,0,0,0,0.0,0,0
10056,24.0,0,45.0,0,0,0,0.0,0,0
10057,24.0,0,45.0,0,0,0,0.0,0,0
10058,24.0,0,45.0,0,0,0,0.0,0,0
10059,24.0,0,45.0,0,0,0,0.0,0,0
10060,24.0,0,45.0,0,0,0,0.0,0,0
10061,24.0,0,45.0,0,0,0,0.0,0,0
10062,24.0,0,45.0,0,0,0,0.0,0,0
10063,24.0,0,45.0,0,0,0,0.0,0,0
10064,24.0,0,45.0,0,0,0,0.0,0,0
10065,24.0,0,45.0,0,0,0,0.0,0,0
10066,24.0,0,45.0,0,0,0,0.0,0,0
10067,24.0,0,45.0,0,0,0,0.0,0,0
10068,24.0,0,45.0,0,0,0,0.0,0,0
10069,24.0,0,45.0,0,0,0,0.0,0,0
10070,24.0,0,45.0,0,0,0,0.0,0,0
10071,24.0,0,45.0,0,0,0,0.0,0,0
10072,24.0,0,45.0,0,0,0,0.0,0,0
10073,24.0,0,45.0,0,0,0,0.0,0,0
10074,24.0,0,45.0,0,0,0,0.0,0,0
10075,24.0,0,45.0,0,0,0,0.0,0,0
10076,24.0,0,45.0,0,0,0,0.0,0,0
10077,24.0,0,45.0,0,0,0,0.0,0,0
10078,24.0,0,45.0,0,0,0,0.0,0,0
10079,24.0,0,45.0,0,0,0,0.0,0,0
10080,24.0,0,45.0,0,0,0,0.0,0,0
10081,24.0,0,45.0,0,0,0,0.0,0,0
10082,24.0,0,45.0,0,0,0,0.0,0,0
10083,24.0,0,45.0,0,0,0,0.0,0,0
10084,24.0,0,45.0,0,0,0,0.0,0,0
