Platform,Region,Instance,On.Demand_Hour,No.UP.1Y_Month,Part.UP.1Y_UP,Part.UP.1Y_Month,All.UP.1Y_UP,Part.UP.3Y_UP,Part.UP.3Y_Month,All.UP.3Y_UP
Linux,US East (N. Virginia),c5ad.4xlarge,$0.68800 per Hour,0,1808.00000,0.20600,0,0,0,0
Linux,US East (N. Virginia),c5ad.2xlarge,$0.34400 per Hour,0,904.00000,0.10300,0,0,0,0
Linux,US East (N. Virginia),c3.2xlarge,$0.42000 per Hour,0,1304.00000,0.10400,0,0,0,0
Linux,US East (N. Virginia),t3.2xlarge,$0.33280 per Hour,0,870.00000,0.09930,0,0,0,0
Linux,US East (N. Virginia),c4.4xlarge,$0.79600 per Hour,0,2116.00000,0.24200,0,0,0,0
Linux,US East (N. Virginia),t3.medium,$0.04160 per Hour,0,109.00000,0.01240,0,0,0,0
Linux,US East (N. Virginia),c3.xlarge,$0.21000 per Hour,0,652.00000,0.05300,0,0,0,0
Linux,US East (N. Virginia),c4.xlarge,$0.19900 per Hour,0,530.00000,0.06000,0,0,0,0
Linux,US East (N. Virginia),c5.18xlarge,$3.06000 per Hour,0,8042.00000,0.91800,0,0,0,0
Linux,US East (N. Virginia),c3.large,$0.10500 per Hour,0,326.00000,0.02600,0,0,0,0
Linux,US East (N. Virginia),m5d.2xlarge,$0.45200 per Hour,0,1188.00000,0.13600,0,0,0,0
Linux,US East (N. Virginia),c5a.2xlarge,$0.30800 per Hour,0,809.00000,0.09200,0,0,0,0
Linux,US East (N. Virginia),m5d.8xlarge,$1.80800 per Hour,0,4751.00000,0.54200,0,0,0,0
Linux,US East (N. Virginia),t3.large,$0.08320 per Hour,0,218.00000,0.02480,0,0,0,0
Linux,US East (N. Virginia),m5d.xlarge,$0.22600 per Hour,0,594.00000,0.06800,0,0,0,0
Linux,US East (N. Virginia),m5.4xlarge,$0.76800 per Hour,0,2018.00000,0.23000,0,0,0,0
Linux,US East (N. Virginia),t2.medium,$0.04640 per Hour,0,120.00000,0.01370,0,0,0,0
Linux,US East (N. Virginia),c5ad.xlarge,$0.17200 per Hour,0,452.00000,0.05200,0,0,0,0
Linux,US East (N. Virginia),m5.xlarge,$0.19200 per Hour,0,505.00000,0.05800,0,0,0,0
Linux,US East (N. Virginia),m5d.4xlarge,$0.90400 per Hour,0,2376.00000,0.27100,0,0,0,0
