Month,t3.medium,t3.nano,c4.large,t3.xlarge,c4.2xlarge,c5.large,c5.xlarge,c5d.4xlarge,t2.medium,t2.small,c4.xlarge,c4.4xlarge,c5.2xlarge,t3.micro,c5.4xlarge
10000,0,0,4,0,0,8,9,0,3,3,1,0,42,0,53
10001,0,0,4,0,0,8,9,0,3,3,1,0,42,0,53
10002,0,0,4,0,0,8,9,0,3,3,1,0,42,0,53
10003,0,0,4,0,0,8,9,0,3,3,1,0,42,0,53
10004,0,0,4,0,0,8,9,0,3,3,1,0,42,0,53
10005,0,0,4,0,0,8,9,0,3,3,1,0,42,0,53
10006,0,0,4,0,0,8,9,0,3,3,1,0,42,0,53
10007,0,0,4,0,0,8,9,0,3,3,1,0,42,0,53
10008,0,0,4,0,0,8,9,0,3,3,1,0,42,0,53
10009,0,0,4,0,0,8,9,0,3,3,1,0,42,0,53
10010,0,0,4,0,0,8,9,0,3,3,1,0,42,0,53
10011,0,0,4,0,0,8,9,0,3,3,1,0,42,0,53
10012,0,0,4,0,0,8,9,0,3,3,1,0,42,0,53
10013,0,0,4,0,0,8,9,0,3,3,1,0,42,0,53
10014,0,0,4,0,0,8,9,0,3,3,1,0,42,0,53
10015,0,0,4,0,0,8,9,0,3,3,1,0,42,0,53
10016,0,0,4,0,0,8,9,0,3,3,1,0,42,0,53
10017,0,0,4,0,0,8,9,0,3,3,1,0,42,0,53
10018,0,0,4,0,0,8,9,0,3,3,1,0,42,0,53
10019,0,0,4,0,0,8,9,0,3,3,1,0,42,0,53
10020,0,0,4,0,0,8,9,0,3,3,1,0,42,0,53
10021,0,0,4,0,0,8,9,0,3,3,1,0,42,0,53
10022,0,0,4,0,0,8,9,0,3,3,1,0,42,0,53
10023,0,0,4,0,0,8,9,0,3,3,1,0,42,0,53
10024,0,0,1,0,0,21,8,0,3,3,0,0,39,0,76
10025,0,0,1,0,0,21,8,0,3,3,0,0,39,0,76
10026,0,0,1,0,0,21,8,0,3,3,0,0,39,0,76
10027,0,0,1,0,0,21,8,0,3,3,0,0,39,0,76
10028,0,0,1,0,0,21,8,0,3,3,0,0,39,0,76
10029,0,0,1,0,0,21,8,0,3,3,0,0,39,0,76
10030,0,0,1,0,0,21,8,0,3,3,0,0,39,0,76
10031,0,0,1,0,0,21,8,0,3,3,0,0,39,0,76
10032,0,0,1,0,0,21,8,0,3,3,0,0,39,0,76
10033,0,0,1,0,0,21,8,0,3,3,0,0,39,0,76
10034,0,0,1,0,0,21,8,0,3,3,0,0,39,0,76
10035,0,0,1,0,0,21,8,0,3,3,0,0,39,0,76
10036,0,0,1,0,0,21,8,0,3,3,0,0,39,0,76
10037,0,0,1,0,0,21,8,0,3,3,0,0,39,0,76
10038,0,0,1,0,0,21,8,0,3,3,0,0,39,0,76
10039,0,0,1,0,0,21,8,0,3,3,0,0,39,0,76
10040,0,0,1,0,0,21,8,0,3,3,0,0,39,0,76
10041,0,0,1,0,0,21,8,0,3,3,0,0,39,0,76
10042,0,0,1,0,0,21,8,0,3,3,0,0,39,0,76
10043,0,0,1,0,0,21,8,0,3,3,0,0,39,0,76
10044,0,0,1,0,0,21,8,0,3,3,0,0,39,0,76
10045,0,0,1,0,0,21,8,0,3,3,0,0,39,0,76
10046,0,0,1,0,0,21,8,0,3,3,0,0,39,0,76
10047,0,0,1,0,0,21,8,0,3,3,0,0,39,0,76
10048,0,0,3,0,0,21,10,0,3,3,0,0,36,0,77
10049,0,0,3,0,0,21,10,0,3,3,0,0,36,0,77
10050,0,0,3,0,0,21,10,0,3,3,0,0,36,0,77
10051,0,0,3,0,0,21,10,0,3,3,0,0,36,0,77
10052,0,0,3,0,0,21,10,0,3,3,0,0,36,0,77
10053,0,0,3,0,0,21,10,0,3,3,0,0,36,0,77
10054,0,0,3,0,0,21,10,0,3,3,0,0,36,0,77
10055,0,0,3,0,0,21,10,0,3,3,0,0,36,0,77
10056,0,0,3,0,0,21,10,0,3,3,0,0,36,0,77
10057,0,0,3,0,0,21,10,0,3,3,0,0,36,0,77
10058,0,0,3,0,0,21,10,0,3,3,0,0,36,0,77
10059,0,0,3,0,0,21,10,0,3,3,0,0,36,0,77
10060,0,0,3,0,0,21,10,0,3,3,0,0,36,0,77
10061,0,0,3,0,0,21,10,0,3,3,0,0,36,0,77
10062,0,0,3,0,0,21,10,0,3,3,0,0,36,0,77
10063,0,0,3,0,0,21,10,0,3,3,0,0,36,0,77
10064,0,0,3,0,0,21,10,0,3,3,0,0,36,0,77
10065,0,0,3,0,0,21,10,0,3,3,0,0,36,0,77
10066,0,0,3,0,0,21,10,0,3,3,0,0,36,0,77
10067,0,0,3,0,0,21,10,0,3,3,0,0,36,0,77
10068,0,0,3,0,0,21,10,0,3,3,0,0,36,0,77
10069,0,0,3,0,0,21,10,0,3,3,0,0,36,0,77
10070,0,0,3,0,0,21,10,0,3,3,0,0,36,0,77
10071,0,0,3,0,0,21,10,0,3,3,0,0,36,0,77
10072,0,0,1,0,1,8,24,0,2,1,5,0,33,0,66
10073,0,0,1,0,1,8,24,0,2,1,5,0,33,0,66
10074,0,0,1,0,1,8,24,0,2,1,5,0,33,0,66
10075,0,0,1,0,1,8,24,0,2,1,5,0,33,0,66
10076,0,0,1,0,1,8,24,0,2,1,5,0,33,0,66
10077,0,0,1,0,1,8,24,0,2,1,5,0,33,0,66
10078,0,0,1,0,1,8,24,0,2,1,5,0,33,0,66
10079,0,0,1,0,1,8,24,0,2,1,5,0,33,0,66
10080,0,0,1,0,1,8,24,0,2,1,5,0,33,0,66
10081,0,0,1,0,1,8,24,0,2,1,5,0,33,0,66
10082,0,0,1,0,1,8,24,0,2,1,5,0,33,0,66
10083,0,0,1,0,1,8,24,0,2,1,5,0,33,0,66
10084,0,0,1,0,1,8,24,0,2,1,5,0,33,0,66
10085,0,0,1,0,1,8,24,0,2,1,5,0,33,0,66
10086,0,0,1,0,1,8,24,0,2,1,5,0,33,0,66
10087,0,0,1,0,1,8,24,0,2,1,5,0,33,0,66
10088,0,0,1,0,1,8,24,0,2,1,5,0,33,0,66
10089,0,0,1,0,1,8,24,0,2,1,5,0,33,0,66
10090,0,0,1,0,1,8,24,0,2,1,5,0,33,0,66
10091,0,0,1,0,1,8,24,0,2,1,5,0,33,0,66
10092,0,0,1,0,1,8,24,0,2,1,5,0,33,0,66
10093,0,0,1,0,1,8,24,0,2,1,5,0,33,0,66
10094,0,0,1,0,1,8,24,0,2,1,5,0,33,0,66
10095,0,0,1,0,1,8,24,0,2,1,5,0,33,0,66
10096,0,0,0,0,3,6,35,0,2,0,8,0,31,0,66
10097,0,0,0,0,3,6,35,0,2,0,8,0,31,0,66
10098,0,0,0,0,3,6,35,0,2,0,8,0,31,0,66
10099,0,0,0,0,3,6,35,0,2,0,8,0,31,0,66
10100,0,0,0,0,3,6,35,0,2,0,8,0,31,0,66
10101,0,0,0,0,3,6,35,0,2,0,8,0,31,0,66
10102,0,0,0,0,3,6,35,0,2,0,8,0,31,0,66
10103,0,0,0,0,3,6,35,0,2,0,8,0,31,0,66
10104,0,0,0,0,3,6,35,0,2,0,8,0,31,0,66
10105,0,0,0,0,3,6,35,0,2,0,8,0,31,0,66
10106,0,0,0,0,3,6,35,0,2,0,8,0,31,0,66
10107,0,0,0,0,3,6,35,0,2,0,8,0,31,0,66
10108,0,0,0,0,3,6,35,0,2,0,8,0,31,0,66
10109,0,0,0,0,3,6,35,0,2,0,8,0,31,0,66
10110,0,0,0,0,3,6,35,0,2,0,8,0,31,0,66
10111,0,0,0,0,3,6,35,0,2,0,8,0,31,0,66
10112,0,0,0,0,3,6,35,0,2,0,8,0,31,0,66
10113,0,0,0,0,3,6,35,0,2,0,8,0,31,0,66
10114,0,0,0,0,3,6,35,0,2,0,8,0,31,0,66
10115,0,0,0,0,3,6,35,0,2,0,8,0,31,0,66
10116,0,0,0,0,3,6,35,0,2,0,8,0,31,0,66
10117,0,0,0,0,3,6,35,0,2,0,8,0,31,0,66
10118,0,0,0,0,3,6,35,0,2,0,8,0,31,0,66
10119,0,0,0,0,3,6,35,0,2,0,8,0,31,0,66
10120,0,0,1,0,3,5,21,0,2,0,8,0,32,0,89
10121,0,0,1,0,3,5,21,0,2,0,8,0,32,0,89
10122,0,0,1,0,3,5,21,0,2,0,8,0,32,0,89
10123,0,0,1,0,3,5,21,0,2,0,8,0,32,0,89
10124,0,0,1,0,3,5,21,0,2,0,8,0,32,0,89
10125,0,0,1,0,3,5,21,0,2,0,8,0,32,0,89
10126,0,0,1,0,3,5,21,0,2,0,8,0,32,0,89
10127,0,0,1,0,3,5,21,0,2,0,8,0,32,0,89
10128,0,0,1,0,3,5,21,0,2,0,8,0,32,0,89
10129,0,0,1,0,3,5,21,0,2,0,8,0,32,0,89
10130,0,0,1,0,3,5,21,0,2,0,8,0,32,0,89
10131,0,0,1,0,3,5,21,0,2,0,8,0,32,0,89
10132,0,0,1,0,3,5,21,0,2,0,8,0,32,0,89
10133,0,0,1,0,3,5,21,0,2,0,8,0,32,0,89
10134,0,0,1,0,3,5,21,0,2,0,8,0,32,0,89
10135,0,0,1,0,3,5,21,0,2,0,8,0,32,0,89
10136,0,0,1,0,3,5,21,0,2,0,8,0,32,0,89
10137,0,0,1,0,3,5,21,0,2,0,8,0,32,0,89
10138,0,0,1,0,3,5,21,0,2,0,8,0,32,0,89
10139,0,0,1,0,3,5,21,0,2,0,8,0,32,0,89
10140,0,0,1,0,3,5,21,0,2,0,8,0,32,0,89
10141,0,0,1,0,3,5,21,0,2,0,8,0,32,0,89
10142,0,0,1,0,3,5,21,0,2,0,8,0,32,0,89
10143,0,0,1,0,3,5,21,0,2,0,8,0,32,0,89
10144,0,0,1,0,1,10,24,0,3,0,6,0,29,0,45
10145,0,0,1,0,1,10,24,0,3,0,6,0,29,0,45
10146,0,0,1,0,1,10,24,0,3,0,6,0,29,0,45
10147,0,0,1,0,1,10,24,0,3,0,6,0,29,0,45
10148,0,0,1,0,1,10,24,0,3,0,6,0,29,0,45
10149,0,0,1,0,1,10,24,0,3,0,6,0,29,0,45
10150,0,0,1,0,1,10,24,0,3,0,6,0,29,0,45
10151,0,0,1,0,1,10,24,0,3,0,6,0,29,0,45
10152,0,0,1,0,1,10,24,0,3,0,6,0,29,0,45
10153,0,0,1,0,1,10,24,0,3,0,6,0,29,0,45
10154,0,0,1,0,1,10,24,0,3,0,6,0,29,0,45
10155,0,0,1,0,1,10,24,0,3,0,6,0,29,0,45
10156,0,0,1,0,1,10,24,0,3,0,6,0,29,0,45
10157,0,0,1,0,1,10,24,0,3,0,6,0,29,0,45
10158,0,0,1,0,1,10,24,0,3,0,6,0,29,0,45
10159,0,0,1,0,1,10,24,0,3,0,6,0,29,0,45
10160,0,0,1,0,1,10,24,0,3,0,6,0,29,0,45
10161,0,0,1,0,1,10,24,0,3,0,6,0,29,0,45
10162,0,0,1,0,1,10,24,0,3,0,6,0,29,0,45
10163,0,0,1,0,1,10,24,0,3,0,6,0,29,0,45
10164,0,0,1,0,1,10,24,0,3,0,6,0,29,0,45
10165,0,0,1,0,1,10,24,0,3,0,6,0,29,0,45
10166,0,0,1,0,1,10,24,0,3,0,6,0,29,0,45
10167,0,0,1,0,1,10,24,0,3,0,6,0,29,0,45
10168,0,0,0,0,13,6,9,0,1,0,3,0,26,1,40
10169,0,0,0,0,13,6,9,0,1,0,3,0,26,1,40
10170,0,0,0,0,13,6,9,0,1,0,3,0,26,1,40
10171,0,0,0,0,13,6,9,0,1,0,3,0,26,1,40
10172,0,0,0,0,13,6,9,0,1,0,3,0,26,1,40
10173,0,0,0,0,13,6,9,0,1,0,3,0,26,1,40
10174,0,0,0,0,13,6,9,0,1,0,3,0,26,1,40
10175,0,0,0,0,13,6,9,0,1,0,3,0,26,1,40
10176,0,0,0,0,13,6,9,0,1,0,3,0,26,1,40
10177,0,0,0,0,13,6,9,0,1,0,3,0,26,1,40
10178,0,0,0,0,13,6,9,0,1,0,3,0,26,1,40
10179,0,0,0,0,13,6,9,0,1,0,3,0,26,1,40
10180,0,0,0,0,13,6,9,0,1,0,3,0,26,1,40
10181,0,0,0,0,13,6,9,0,1,0,3,0,26,1,40
10182,0,0,0,0,13,6,9,0,1,0,3,0,26,1,40
10183,0,0,0,0,13,6,9,0,1,0,3,0,26,1,40
10184,0,0,0,0,13,6,9,0,1,0,3,0,26,1,40
10185,0,0,0,0,13,6,9,0,1,0,3,0,26,1,40
10186,0,0,0,0,13,6,9,0,1,0,3,0,26,1,40
10187,0,0,0,0,13,6,9,0,1,0,3,0,26,1,40
10188,0,0,0,0,13,6,9,0,1,0,3,0,26,1,40
10189,0,0,0,0,13,6,9,0,1,0,3,0,26,1,40
10190,0,0,0,0,13,6,9,0,1,0,3,0,26,1,40
10191,0,0,0,0,13,6,9,0,1,0,3,0,26,1,40
10192,0,0,0,0,7,4,8,0,0,0,2,0,36,1,43
10193,0,0,0,0,7,4,8,0,0,0,2,0,36,1,43
10194,0,0,0,0,7,4,8,0,0,0,2,0,36,1,43
10195,0,0,0,0,7,4,8,0,0,0,2,0,36,1,43
10196,0,0,0,0,7,4,8,0,0,0,2,0,36,1,43
10197,0,0,0,0,7,4,8,0,0,0,2,0,36,1,43
10198,0,0,0,0,7,4,8,0,0,0,2,0,36,1,43
10199,0,0,0,0,7,4,8,0,0,0,2,0,36,1,43
10200,0,0,0,0,7,4,8,0,0,0,2,0,36,1,43
10201,0,0,0,0,7,4,8,0,0,0,2,0,36,1,43
10202,0,0,0,0,7,4,8,0,0,0,2,0,36,1,43
10203,0,0,0,0,7,4,8,0,0,0,2,0,36,1,43
10204,0,0,0,0,7,4,8,0,0,0,2,0,36,1,43
10205,0,0,0,0,7,4,8,0,0,0,2,0,36,1,43
10206,0,0,0,0,7,4,8,0,0,0,2,0,36,1,43
10207,0,0,0,0,7,4,8,0,0,0,2,0,36,1,43
10208,0,0,0,0,7,4,8,0,0,0,2,0,36,1,43
10209,0,0,0,0,7,4,8,0,0,0,2,0,36,1,43
10210,0,0,0,0,7,4,8,0,0,0,2,0,36,1,43
10211,0,0,0,0,7,4,8,0,0,0,2,0,36,1,43
10212,0,0,0,0,7,4,8,0,0,0,2,0,36,1,43
10213,0,0,0,0,7,4,8,0,0,0,2,0,36,1,43
10214,0,0,0,0,7,4,8,0,0,0,2,0,36,1,43
10215,0,0,0,0,7,4,8,0,0,0,2,0,36,1,43
10216,0,0,0,0,9,3,5,0,0,0,0,0,34,0,34
10217,0,0,0,0,9,3,5,0,0,0,0,0,34,0,34
10218,0,0,0,0,9,3,5,0,0,0,0,0,34,0,34
10219,0,0,0,0,9,3,5,0,0,0,0,0,34,0,34
10220,0,0,0,0,9,3,5,0,0,0,0,0,34,0,34
10221,0,0,0,0,9,3,5,0,0,0,0,0,34,0,34
10222,0,0,0,0,9,3,5,0,0,0,0,0,34,0,34
10223,0,0,0,0,9,3,5,0,0,0,0,0,34,0,34
10224,0,0,0,0,9,3,5,0,0,0,0,0,34,0,34
10225,0,0,0,0,9,3,5,0,0,0,0,0,34,0,34
10226,0,0,0,0,9,3,5,0,0,0,0,0,34,0,34
10227,0,0,0,0,9,3,5,0,0,0,0,0,34,0,34
10228,0,0,0,0,9,3,5,0,0,0,0,0,34,0,34
10229,0,0,0,0,9,3,5,0,0,0,0,0,34,0,34
10230,0,0,0,0,9,3,5,0,0,0,0,0,34,0,34
10231,0,0,0,0,9,3,5,0,0,0,0,0,34,0,34
10232,0,0,0,0,9,3,5,0,0,0,0,0,34,0,34
10233,0,0,0,0,9,3,5,0,0,0,0,0,34,0,34
10234,0,0,0,0,9,3,5,0,0,0,0,0,34,0,34
10235,0,0,0,0,9,3,5,0,0,0,0,0,34,0,34
10236,0,0,0,0,9,3,5,0,0,0,0,0,34,0,34
10237,0,0,0,0,9,3,5,0,0,0,0,0,34,0,34
10238,0,0,0,0,9,3,5,0,0,0,0,0,34,0,34
10239,0,0,0,0,9,3,5,0,0,0,0,0,34,0,34
10240,0,0,0,0,7,6,8,0,1,0,2,0,29,1,52
10241,0,0,0,0,7,6,8,0,1,0,2,0,29,1,52
10242,0,0,0,0,7,6,8,0,1,0,2,0,29,1,52
10243,0,0,0,0,7,6,8,0,1,0,2,0,29,1,52
10244,0,0,0,0,7,6,8,0,1,0,2,0,29,1,52
10245,0,0,0,0,7,6,8,0,1,0,2,0,29,1,52
10246,0,0,0,0,7,6,8,0,1,0,2,0,29,1,52
10247,0,0,0,0,7,6,8,0,1,0,2,0,29,1,52
10248,0,0,0,0,7,6,8,0,1,0,2,0,29,1,52
10249,0,0,0,0,7,6,8,0,1,0,2,0,29,1,52
10250,0,0,0,0,7,6,8,0,1,0,2,0,29,1,52
10251,0,0,0,0,7,6,8,0,1,0,2,0,29,1,52
10252,0,0,0,0,7,6,8,0,1,0,2,0,29,1,52
10253,0,0,0,0,7,6,8,0,1,0,2,0,29,1,52
10254,0,0,0,0,7,6,8,0,1,0,2,0,29,1,52
10255,0,0,0,0,7,6,8,0,1,0,2,0,29,1,52
10256,0,0,0,0,7,6,8,0,1,0,2,0,29,1,52
10257,0,0,0,0,7,6,8,0,1,0,2,0,29,1,52
10258,0,0,0,0,7,6,8,0,1,0,2,0,29,1,52
10259,0,0,0,0,7,6,8,0,1,0,2,0,29,1,52
10260,0,0,0,0,7,6,8,0,1,0,2,0,29,1,52
10261,0,0,0,0,7,6,8,0,1,0,2,0,29,1,52
10262,0,0,0,0,7,6,8,0,1,0,2,0,29,1,52
10263,0,0,0,0,7,6,8,0,1,0,2,0,29,1,52
10264,0,0,0,0,17,7,18,0,1,1,6,0,29,4,52
10265,0,0,0,0,17,7,18,0,1,1,6,0,29,4,52
10266,0,0,0,0,17,7,18,0,1,1,6,0,29,4,52
10267,0,0,0,0,17,7,18,0,1,1,6,0,29,4,52
10268,0,0,0,0,17,7,18,0,1,1,6,0,29,4,52
10269,0,0,0,0,17,7,18,0,1,1,6,0,29,4,52
10270,0,0,0,0,17,7,18,0,1,1,6,0,29,4,52
10271,0,0,0,0,17,7,18,0,1,1,6,0,29,4,52
10272,0,0,0,0,17,7,18,0,1,1,6,0,29,4,52
10273,0,0,0,0,17,7,18,0,1,1,6,0,29,4,52
10274,0,0,0,0,17,7,18,0,1,1,6,0,29,4,52
10275,0,0,0,0,17,7,18,0,1,1,6,0,29,4,52
10276,0,0,0,0,17,7,18,0,1,1,6,0,29,4,52
10277,0,0,0,0,17,7,18,0,1,1,6,0,29,4,52
10278,0,0,0,0,17,7,18,0,1,1,6,0,29,4,52
10279,0,0,0,0,17,7,18,0,1,1,6,0,29,4,52
10280,0,0,0,0,17,7,18,0,1,1,6,0,29,4,52
10281,0,0,0,0,17,7,18,0,1,1,6,0,29,4,52
10282,0,0,0,0,17,7,18,0,1,1,6,0,29,4,52
10283,0,0,0,0,17,7,18,0,1,1,6,0,29,4,52
10284,0,0,0,0,17,7,18,0,1,1,6,0,29,4,52
10285,0,0,0,0,17,7,18,0,1,1,6,0,29,4,52
10286,0,0,0,0,17,7,18,0,1,1,6,0,29,4,52
10287,0,0,0,0,17,7,18,0,1,1,6,0,29,4,52
10288,0,0,0,0,22,6,16,0,1,1,8,0,33,1,48
10289,0,0,0,0,22,6,16,0,1,1,8,0,33,1,48
10290,0,0,0,0,22,6,16,0,1,1,8,0,33,1,48
10291,0,0,0,0,22,6,16,0,1,1,8,0,33,1,48
10292,0,0,0,0,22,6,16,0,1,1,8,0,33,1,48
10293,0,0,0,0,22,6,16,0,1,1,8,0,33,1,48
10294,0,0,0,0,22,6,16,0,1,1,8,0,33,1,48
10295,0,0,0,0,22,6,16,0,1,1,8,0,33,1,48
10296,0,0,0,0,22,6,16,0,1,1,8,0,33,1,48
10297,0,0,0,0,22,6,16,0,1,1,8,0,33,1,48
10298,0,0,0,0,22,6,16,0,1,1,8,0,33,1,48
10299,0,0,0,0,22,6,16,0,1,1,8,0,33,1,48
10300,0,0,0,0,22,6,16,0,1,1,8,0,33,1,48
10301,0,0,0,0,22,6,16,0,1,1,8,0,33,1,48
10302,0,0,0,0,22,6,16,0,1,1,8,0,33,1,48
10303,0,0,0,0,22,6,16,0,1,1,8,0,33,1,48
10304,0,0,0,0,22,6,16,0,1,1,8,0,33,1,48
10305,0,0,0,0,22,6,16,0,1,1,8,0,33,1,48
10306,0,0,0,0,22,6,16,0,1,1,8,0,33,1,48
10307,0,0,0,0,22,6,16,0,1,1,8,0,33,1,48
10308,0,0,0,0,22,6,16,0,1,1,8,0,33,1,48
10309,0,0,0,0,22,6,16,0,1,1,8,0,33,1,48
10310,0,0,0,0,22,6,16,0,1,1,8,0,33,1,48
10311,0,0,0,0,22,6,16,0,1,1,8,0,33,1,48
10312,0,0,1,0,19,16,10,0,2,4,8,0,31,3,74
10313,0,0,1,0,19,16,10,0,2,4,8,0,31,3,74
10314,0,0,1,0,19,16,10,0,2,4,8,0,31,3,74
10315,0,0,1,0,19,16,10,0,2,4,8,0,31,3,74
10316,0,0,1,0,19,16,10,0,2,4,8,0,31,3,74
10317,0,0,1,0,19,16,10,0,2,4,8,0,31,3,74
10318,0,0,1,0,19,16,10,0,2,4,8,0,31,3,74
10319,0,0,1,0,19,16,10,0,2,4,8,0,31,3,74
10320,0,0,1,0,19,16,10,0,2,4,8,0,31,3,74
10321,0,0,1,0,19,16,10,0,2,4,8,0,31,3,74
10322,0,0,1,0,19,16,10,0,2,4,8,0,31,3,74
10323,0,0,1,0,19,16,10,0,2,4,8,0,31,3,74
10324,0,0,1,0,19,16,10,0,2,4,8,0,31,3,74
10325,0,0,1,0,19,16,10,0,2,4,8,0,31,3,74
10326,0,0,1,0,19,16,10,0,2,4,8,0,31,3,74
10327,0,0,1,0,19,16,10,0,2,4,8,0,31,3,74
10328,0,0,1,0,19,16,10,0,2,4,8,0,31,3,74
10329,0,0,1,0,19,16,10,0,2,4,8,0,31,3,74
10330,0,0,1,0,19,16,10,0,2,4,8,0,31,3,74
10331,0,0,1,0,19,16,10,0,2,4,8,0,31,3,74
10332,0,0,1,0,19,16,10,0,2,4,8,0,31,3,74
10333,0,0,1,0,19,16,10,0,2,4,8,0,31,3,74
10334,0,0,1,0,19,16,10,0,2,4,8,0,31,3,74
10335,0,0,1,0,19,16,10,0,2,4,8,0,31,3,74
10336,0,0,0,0,25,10,9,0,2,2,4,0,25,1,176
10337,0,0,0,0,25,10,9,0,2,2,4,0,25,1,176
10338,0,0,0,0,25,10,9,0,2,2,4,0,25,1,176
10339,0,0,0,0,25,10,9,0,2,2,4,0,25,1,176
10340,0,0,0,0,25,10,9,0,2,2,4,0,25,1,176
10341,0,0,0,0,25,10,9,0,2,2,4,0,25,1,176
10342,0,0,0,0,25,10,9,0,2,2,4,0,25,1,176
10343,0,0,0,0,25,10,9,0,2,2,4,0,25,1,176
10344,0,0,0,0,25,10,9,0,2,2,4,0,25,1,176
10345,0,0,0,0,25,10,9,0,2,2,4,0,25,1,176
10346,0,0,0,0,25,10,9,0,2,2,4,0,25,1,176
10347,0,0,0,0,25,10,9,0,2,2,4,0,25,1,176
10348,0,0,0,0,25,10,9,0,2,2,4,0,25,1,176
10349,0,0,0,0,25,10,9,0,2,2,4,0,25,1,176
10350,0,0,0,0,25,10,9,0,2,2,4,0,25,1,176
10351,0,0,0,0,25,10,9,0,2,2,4,0,25,1,176
10352,0,0,0,0,25,10,9,0,2,2,4,0,25,1,176
10353,0,0,0,0,25,10,9,0,2,2,4,0,25,1,176
10354,0,0,0,0,25,10,9,0,2,2,4,0,25,1,176
10355,0,0,0,0,25,10,9,0,2,2,4,0,25,1,176
10356,0,0,0,0,25,10,9,0,2,2,4,0,25,1,176
10357,0,0,0,0,25,10,9,0,2,2,4,0,25,1,176
10358,0,0,0,0,25,10,9,0,2,2,4,0,25,1,176
10359,0,0,0,0,25,10,9,0,2,2,4,0,25,1,176
10360,0,0,2,0,6,7,7,0,1,2,3,0,35,4,189
10361,0,0,2,0,6,7,7,0,1,2,3,0,35,4,189
10362,0,0,2,0,6,7,7,0,1,2,3,0,35,4,189
10363,0,0,2,0,6,7,7,0,1,2,3,0,35,4,189
10364,0,0,2,0,6,7,7,0,1,2,3,0,35,4,189
10365,0,0,2,0,6,7,7,0,1,2,3,0,35,4,189
10366,0,0,2,0,6,7,7,0,1,2,3,0,35,4,189
10367,0,0,2,0,6,7,7,0,1,2,3,0,35,4,189
10368,0,0,2,0,6,7,7,0,1,2,3,0,35,4,189
10369,0,0,2,0,6,7,7,0,1,2,3,0,35,4,189
10370,0,0,2,0,6,7,7,0,1,2,3,0,35,4,189
10371,0,0,2,0,6,7,7,0,1,2,3,0,35,4,189
10372,0,0,2,0,6,7,7,0,1,2,3,0,35,4,189
10373,0,0,2,0,6,7,7,0,1,2,3,0,35,4,189
10374,0,0,2,0,6,7,7,0,1,2,3,0,35,4,189
10375,0,0,2,0,6,7,7,0,1,2,3,0,35,4,189
10376,0,0,2,0,6,7,7,0,1,2,3,0,35,4,189
10377,0,0,2,0,6,7,7,0,1,2,3,0,35,4,189
10378,0,0,2,0,6,7,7,0,1,2,3,0,35,4,189
10379,0,0,2,0,6,7,7,0,1,2,3,0,35,4,189
