Hour,c4.xlarge
10000,67.0
10001,67.0
10002,67.0
10003,67.0
10004,67.0
10005,67.0
10006,67.0
10007,67.0
10008,67.0
10009,67.0
10010,67.0
10011,67.0
10012,67.0
10013,67.0
10014,67.0
10015,67.0
10016,67.0
10017,67.0
10018,67.0
10019,67.0
10020,67.0
10021,67.0
10022,67.0
10023,67.0
10024,67.0
10025,67.0
10026,67.0
10027,67.0
10028,67.0
10029,67.0
10030,67.0
10031,67.0
10032,67.0
10033,67.0
10034,67.0
10035,67.0
10036,67.0
10037,67.0
10038,67.0
10039,67.0
10040,67.0
10041,67.0
10042,67.0
10043,67.0
10044,67.0
10045,67.0
10046,67.0
10047,45.0
10048,45.0
10049,45.0
10050,45.0
10051,45.0
10052,45.0
10053,45.0
10054,45.0
10055,45.0
10056,45.0
10057,45.0
10058,45.0
10059,45.0
10060,45.0
10061,45.0
10062,45.0
10063,45.0
10064,45.0
10065,45.0
10066,45.0
10067,45.0
10068,45.0
10069,45.0
10070,45.0
10071,45.0
10072,45.0
10073,45.0
10074,45.0
10075,45.0
10076,45.0
10077,45.0
10078,45.0
10079,45.0
10080,45.0
10081,45.0
10082,45.0
10083,45.0
10084,45.0
10085,45.0
10086,45.0
10087,45.0
10088,45.0
10089,45.0
10090,45.0
10091,45.0
10092,45.0
10093,45.0
10094,45.0
10095,45.0
10096,45.0
10097,45.0
10098,45.0
10099,45.0
10100,45.0
10101,45.0
10102,45.0
10103,45.0
10104,45.0
10105,45.0
10106,45.0
10107,45.0
10108,45.0
10109,45.0
10110,45.0
10111,45.0
10112,45.0
10113,45.0
10114,45.0
10115,45.0
10116,45.0
10117,45.0
10118,45.0
10119,45.0
10120,45.0
10121,45.0
10122,45.0
10123,45.0
10124,45.0
10125,45.0
10126,45.0
10127,45.0
10128,45.0
10129,45.0
10130,45.0
10131,44.0
10132,45.0
10133,45.0
10134,45.0
10135,45.0
10136,45.0
10137,45.0
10138,45.0
10139,45.0
10140,45.0
10141,45.0
10142,45.0
10143,45.0
10144,45.0
10145,45.0
10146,45.0
10147,45.0
10148,45.0
10149,45.0
10150,45.0
10151,45.0
10152,45.0
10153,45.0
10154,45.0
10155,45.0
10156,45.0
10157,45.0
10158,45.0
10159,45.0
10160,48.0
10161,45.0
10162,45.0
10163,45.0
10164,45.0
10165,45.0
10166,45.0
10167,45.0
10168,45.0
10169,45.0
10170,45.0
10171,45.0
10172,45.0
10173,45.0
10174,45.0
10175,45.0
10176,45.0
10177,45.0
10178,45.0
10179,45.0
10180,45.0
10181,45.0
10182,45.0
10183,45.0
10184,45.0
10185,45.0
10186,45.0
10187,45.0
10188,45.0
10189,45.0
10190,45.0
10191,45.0
10192,45.0
10193,45.0
10194,45.0
10195,45.0
10196,45.0
10197,44.0
10198,45.0
10199,45.0
10200,45.0
10201,45.0
10202,45.0
10203,44.0
10204,45.0
10205,45.0
10206,45.0
10207,45.0
10208,45.0
10209,45.0
10210,45.0
10211,45.0
10212,45.0
10213,45.0
10214,45.0
10215,45.0
10216,45.0
10217,45.0
10218,41.0
10219,40.0
10220,40.0
10221,39.0
10222,40.0
10223,40.0
10224,40.0
10225,39.0
10226,40.0
10227,40.0
10228,40.0
10229,40.0
10230,40.0
10231,40.0
10232,40.0
10233,40.0
10234,40.0
10235,40.0
10236,40.0
10237,40.0
10238,40.0
10239,40.0
10240,50.0
10241,45.0
10242,43.0
10243,41.0
10244,40.0
10245,40.0
10246,40.0
10247,40.0
10248,40.0
10249,40.0
10250,39.0
10251,40.0
10252,39.0
10253,40.0
10254,40.0
10255,40.0
10256,39.0
10257,39.0
10258,40.0
10259,40.0
10260,40.0
10261,43.0
10262,44.0
10263,45.0
10264,45.0
10265,45.0
10266,45.0
10267,45.0
10268,45.0
10269,45.0
10270,45.0
10271,45.0
10272,45.0
10273,45.0
10274,45.0
10275,45.0
10276,45.0
10277,45.0
10278,45.0
10279,45.0
10280,45.0
10281,45.0
10282,45.0
10283,45.0
10284,45.0
10285,45.0
10286,45.0
10287,45.0
10288,45.0
10289,45.0
10290,45.0
10291,45.0
10292,45.0
10293,45.0
10294,45.0
10295,45.0
10296,45.0
10297,45.0
10298,45.0
10299,45.0
10300,45.0
10301,45.0
10302,45.0
10303,45.0
10304,45.0
10305,45.0
10306,45.0
10307,45.0
10308,56.0
10309,54.0
10310,54.0
10311,54.0
10312,54.0
10313,54.0
10314,54.0
10315,53.0
10316,54.0
10317,53.0
10318,54.0
10319,54.0
10320,54.0
10321,54.0
10322,54.0
10323,53.0
10324,54.0
10325,53.0
10326,53.0
10327,54.0
10328,54.0
10329,54.0
10330,92.0
10331,94.0
10332,94.0
10333,98.0
10334,106.0
10335,87.0
10336,77.0
10337,64.0
10338,59.0
10339,59.0
10340,59.0
10341,59.0
10342,59.0
10343,59.0
10344,59.0
10345,59.0
10346,58.0
10347,59.0
10348,59.0
10349,59.0
10350,60.0
10351,62.0
10352,61.0
10353,61.0
10354,66.0
10355,61.0
10356,64.0
10357,62.0
10358,64.0
10359,61.0
10360,68.0
10361,61.0
10362,61.0
10363,61.0
10364,61.0
10365,61.0
10366,60.0
10367,61.0
10368,60.0
10369,61.0
10370,60.0
10371,61.0
10372,61.0
10373,61.0
10374,61.0
10375,61.0
10376,61.0
10377,64.0
10378,66.0
10379,64.0
10380,123.0
10381,123.0
10382,123.0
10383,123.0
10384,127.0
10385,123.0
10386,123.0
10387,96.0
10388,96.0
10389,96.0
10390,96.0
10391,96.0
10392,96.0
10393,96.0
10394,96.0
10395,96.0
10396,96.0
10397,96.0
10398,96.0
10399,96.0
10400,96.0
10401,96.0
10402,96.0
10403,96.0
10404,96.0
10405,96.0
10406,96.0
10407,96.0
10408,96.0
10409,96.0
10410,96.0
10411,96.0
10412,96.0
10413,96.0
10414,96.0
10415,96.0
10416,96.0
10417,96.0
10418,96.0
10419,96.0
10420,96.0
10421,96.0
10422,96.0
10423,96.0
10424,96.0
10425,96.0
10426,96.0
10427,96.0
10428,96.0
10429,96.0
10430,96.0
10431,96.0
10432,96.0
10433,96.0
10434,96.0
10435,96.0
10436,96.0
10437,96.0
10438,96.0
10439,96.0
10440,96.0
10441,96.0
10442,96.0
10443,96.0
10444,96.0
10445,96.0
10446,96.0
10447,96.0
10448,96.0
10449,96.0
10450,96.0
10451,96.0
10452,96.0
10453,96.0
10454,96.0
10455,96.0
10456,96.0
10457,96.0
10458,96.0
